Node,Username,Start Time,Duration,Service,Active,Auth,Real Ip,Vpn Ip,Proto,Port,Bytes Total,Error
openvpn-server,Carolyn.W,2022.03.28 08:01:48 EDT,28438,VPN,0,1,172.20.124.147,10.128.20.36,UDP,1194,3085466124,
openvpn-server,Dennis.X,2022.03.28 08:38:36 EDT,,VPN,0,0,172.17.39.220,,UDP,1194,,LDAP invalid credentials on ldap://10.128.30.20: LDAPInvalidCredentialsResult - 49 - invalidCredentials - None - None - bindResponse - None (facility='initialize [10.128.30.20]'
openvpn-server,Joseph.B,2022.03.28 08:54:27 EDT,34540,VPN,0,1,172.22.55.142,10.128.20.223,UDP,1194,9028030660,
openvpn-server,Jeffrey.U,2022.03.28 09:06:43 EDT,9193,VPN,0,1,172.16.236.77,10.128.20.200,UDP,1194,933907677,
openvpn-server,Ryan.D,2022.03.28 09:46:39 EDT,11564,VPN,0,1,172.26.18.141,10.128.20.184,UDP,1194,2846848648,
openvpn-server,Dennis.X,2022.03.28 10:13:24 EDT,12344,VPN,0,1,172.22.82.154,10.128.20.52,UDP,1194,1262593696,
openvpn-server,Amy.G,2022.03.28 10:35:12 EDT,26174,VPN,0,1,172.30.17.19,10.128.20.43,UDP,1194,4108113996,
openvpn-server,Roy.V,2022.03.28 11:14:34 EDT,19158,VPN,0,1,172.27.81.239,10.128.20.28,UDP,1194,4201540980,
openvpn-server,Olivia.I,2022.03.28 11:41:28 EDT,18801,VPN,0,1,172.30.188.213,10.128.20.112,UDP,1194,2301486813,
openvpn-server,Keith.E,2022.03.28 12:18:23 EDT,6327,VPN,0,1,172.18.35.226,10.128.20.153,UDP,1194,248853564,
openvpn-server,Nancy.E,2022.03.28 12:46:47 EDT,21013,VPN,0,1,172.31.53.162,10.128.20.108,UDP,1194,4685247597,
openvpn-server,Vincent.W,2022.03.28 13:15:08 EDT,,VPN,0,0,172.17.246.36,,UDP,1194,,LDAP invalid credentials on ldap://10.128.30.20: LDAPInvalidCredentialsResult - 49 - invalidCredentials - None - None - bindResponse - None (facility='initialize [10.128.30.20]'
openvpn-server,Emma.I,2022.03.28 13:25:09 EDT,3385,VPN,0,1,172.29.140.7,10.128.20.50,UDP,1194,490740375,
openvpn-server,Russell.I,2022.03.28 13:43:16 EDT,4970,VPN,0,1,172.25.167.193,10.128.20.72,UDP,1194,1304098180,
openvpn-server,Charles.O,2022.03.28 13:57:54 EDT,19518,VPN,0,1,172.28.102.158,10.128.20.11,UDP,1194,1118635134,
openvpn-server,Diane.M,2022.03.28 14:23:08 EDT,6234,VPN,0,1,172.21.56.86,10.128.20.251,UDP,1194,1421570190,
openvpn-server,Michelle.T,2022.03.28 14:42:57 EDT,13324,VPN,0,1,172.28.24.104,10.128.20.131,UDP,1194,2815587708,
openvpn-server,Walter.M,2022.03.28 15:06:03 EDT,12193,VPN,0,1,172.25.11.43,10.128.20.110,UDP,1194,755917228,
openvpn-server,Dennis.X,2022.03.28 15:36:48 EDT,12487,VPN,0,1,172.18.105.114,10.128.20.49,UDP,1194,2032471529,
openvpn-server,Emma.I,2022.03.28 16:16:04 EDT,1614,VPN,0,1,172.27.8.208,10.128.20.201,UDP,1194,422901894,
openvpn-server,Raymond.A,2022.03.28 16:30:44 EDT,,VPN,0,0,172.30.45.5,,UDP,1194,,user not found
openvpn-server,Roy.V,2022.03.28 16:43:12 EDT,5701,VPN,0,1,172.24.58.130,10.128.20.33,UDP,1194,712995565,
openvpn-server,Christopher.B,2022.03.28 17:06:01 EDT,4300,VPN,0,1,172.20.72.176,10.128.20.45,UDP,1194,858486400,
openvpn-server,Olivia.I,2022.03.28 17:39:23 EDT,1026,VPN,0,1,172.30.39.92,10.128.20.170,UDP,1194,7028100,
openvpn-server,Cheryl.B,2022.03.28 18:11:43 EDT,,VPN,0,0,172.28.68.49,,UDP,1194,,user not found
openvpn-server,Jeffrey.U,2022.03.28 18:35:27 EDT,1358,VPN,0,1,172.25.108.103,10.128.20.248,UDP,1194,89758368,
openvpn-server,Noah.A,2022.03.28 18:54:57 EDT,5753,VPN,0,1,172.31.0.143,10.128.20.208,UDP,1194,1205880577,
openvpn-server,Diane.M,2022.03.29 07:08:28 EDT,13354,VPN,0,1,172.30.81.143,10.128.20.97,UDP,1194,1703222576,
openvpn-server,Russell.I,2022.03.29 07:44:32 EDT,11427,VPN,0,1,172.22.219.115,10.128.20.184,UDP,1194,1928477655,
openvpn-server,Emma.I,2022.03.29 08:08:56 EDT,32848,VPN,0,1,172.21.195.113,10.128.20.172,UDP,1194,5498492416,
openvpn-server,Keith.E,2022.03.29 08:44:28 EDT,11258,VPN,0,1,172.23.31.5,10.128.20.183,UDP,1194,283881728,
openvpn-server,Christopher.B,2022.03.29 09:10:45 EDT,,VPN,0,0,172.17.190.8,,UDP,1194,,LDAP invalid credentials on ldap://10.128.30.20: LDAPInvalidCredentialsResult - 49 - invalidCredentials - None - None - bindResponse - None (facility='initialize [10.128.30.20]'
openvpn-server,Zachary.W,2022.03.29 09:34:43 EDT,4532,VPN,0,1,172.18.13.29,10.128.20.35,UDP,1194,339052516,
openvpn-server,Ryan.D,2022.03.29 10:00:14 EDT,19796,VPN,0,1,172.29.199.198,10.128.20.80,UDP,1194,5077416652,
openvpn-server,Walter.M,2022.03.29 10:34:36 EDT,25149,VPN,0,1,172.17.215.210,10.128.20.130,UDP,1194,4518923214,
openvpn-server,Joseph.B,2022.03.29 11:08:28 EDT,28277,VPN,0,1,172.25.63.8,10.128.20.4,UDP,1194,5701802557,
openvpn-server,Jeffrey.U,2022.03.29 11:42:16 EDT,5180,VPN,0,1,172.27.171.224,10.128.20.135,UDP,1194,1134943180,
openvpn-server,Joyce.Y,2022.03.29 12:04:10 EDT,,VPN,0,0,172.16.122.187,,UDP,1194,,LDAP invalid credentials on ldap://10.128.30.20: LDAPInvalidCredentialsResult - 49 - invalidCredentials - None - None - bindResponse - None (facility='initialize [10.128.30.20]'
openvpn-server,Roy.V,2022.03.29 12:42:48 EDT,,VPN,0,0,172.21.255.247,,UDP,1194,,LDAP invalid credentials on ldap://10.128.30.20: LDAPInvalidCredentialsResult - 49 - invalidCredentials - None - None - bindResponse - None (facility='initialize [10.128.30.20]'
openvpn-server,Russell.I,2022.03.29 12:56:05 EDT,14644,VPN,0,1,172.22.67.110,10.128.20.13,UDP,1194,3561742968,
openvpn-server,Diane.M,2022.03.29 13:09:42 EDT,15951,VPN,0,1,172.24.180.174,10.128.20.214,UDP,1194,400067031,
openvpn-server,Jeffrey.U,2022.03.29 13:46:00 EDT,17742,VPN,0,1,172.21.245.197,10.128.20.124,UDP,1194,4179482940,
openvpn-server,Carolyn.W,2022.03.29 14:01:41 EDT,,VPN,0,0,172.24.182.139,,UDP,1194,,LDAP invalid credentials on ldap://10.128.30.20: LDAPInvalidCredentialsResult - 49 - invalidCredentials - None - None - bindResponse - None (facility='initialize [10.128.30.20]'
openvpn-server,Amy.G,2022.03.29 14:22:59 EDT,10401,VPN,0,1,172.27.59.123,10.128.20.85,UDP,1194,675108108,
openvpn-server,Noah.A,2022.03.29 14:34:37 EDT,9119,VPN,0,1,172.25.34.106,10.128.20.79,UDP,1194,1763176888,
openvpn-server,Joyce.Y,2022.03.29 14:48:52 EDT,14482,VPN,0,1,172.29.17.13,10.128.20.92,UDP,1194,843446162,
openvpn-server,Maria.B,2022.03.29 15:07:01 EDT,,VPN,0,0,172.16.20.72,,UDP,1194,,LDAP invalid credentials on ldap://10.128.30.20: LDAPInvalidCredentialsResult - 49 - invalidCredentials - None - None - bindResponse - None (facility='initialize [10.128.30.20]'
openvpn-server,Brandon.L,2022.03.29 15:25:05 EDT,1985,VPN,0,1,172.29.191.182,10.128.20.134,UDP,1194,547073940,
openvpn-server,Nancy.E,2022.03.29 16:02:23 EDT,1403,VPN,0,1,172.22.37.251,10.128.20.222,UDP,1194,278760667,
openvpn-server,Carolyn.W,2022.03.29 16:16:58 EDT,2558,VPN,0,1,172.20.15.174,10.128.20.115,UDP,1194,174992780,
openvpn-server,Emma.F,2022.03.29 16:28:25 EDT,,VPN,0,0,172.27.105.195,,UDP,1194,,user not found
openvpn-server,Michelle.T,2022.03.29 16:47:58 EDT,2643,VPN,0,1,172.20.107.69,10.128.20.252,UDP,1194,45504531,
openvpn-server,Roy.V,2022.03.29 17:05:33 EDT,,VPN,0,0,172.31.181.154,,UDP,1194,,LDAP invalid credentials on ldap://10.128.30.20: LDAPInvalidCredentialsResult - 49 - invalidCredentials - None - None - bindResponse - None (facility='initialize [10.128.30.20]'
openvpn-server,Frances.P,2022.03.29 17:39:07 EDT,5297,VPN,0,1,172.27.210.93,10.128.20.210,UDP,1194,187153604,
openvpn-server,Carolyn.W,2022.03.29 18:02:39 EDT,2498,VPN,0,1,172.25.16.45,10.128.20.115,UDP,1194,382526234,
openvpn-server,Vincent.W,2022.03.29 18:35:53 EDT,4048,VPN,0,1,172.20.166.25,10.128.20.41,UDP,1194,461767504,
openvpn-server,Patrick.K,2022.03.30 07:16:02 EDT,20075,VPN,0,1,172.19.14.16,10.128.20.151,UDP,1194,5372190450,
openvpn-server,Vincent.W,2022.03.30 07:51:18 EDT,23710,VPN,0,1,172.25.104.126,10.128.20.220,UDP,1194,6385506070,
openvpn-server,Charles.O,2022.03.30 08:12:37 EDT,2241,VPN,0,1,172.18.209.238,10.128.20.72,UDP,1194,394528050,
openvpn-server,Amy.G,2022.03.30 08:43:06 EDT,28060,VPN,0,1,172.18.16.10,10.128.20.53,UDP,1194,2468831040,
openvpn-server,Brandon.L,2022.03.30 08:57:43 EDT,2300,VPN,0,1,172.28.32.141,10.128.20.126,UDP,1194,437315100,
openvpn-server,Emma.I,2022.03.30 09:27:03 EDT,10316,VPN,0,1,172.25.191.134,10.128.20.4,UDP,1194,1301590352,
