Username,Start Time,Duration,Auth,Bytes Total,Error
Carolyn.W,2022.03.28 08:01:48 EDT,28438,1,3085466124,
Dennis.X,2022.03.28 08:38:36 EDT,,0,,LDAP invalid credentials on ldap://10.128.30.20: LDAPInvalidCredentialsResult - 49 - invalidCredentials - None - None - bindResponse - None (facility='initialize [10.128.30.20]'
Joseph.B,2022.03.28 08:54:27 EDT,34540,1,9028030660,
Jeffrey.U,2022.03.28 09:06:43 EDT,9193,1,933907677,
Ryan.D,2022.03.28 09:46:39 EDT,11564,1,2846848648,
Dennis.X,2022.03.28 10:13:24 EDT,12344,1,1262593696,
Amy.G,2022.03.28 10:35:12 EDT,26174,1,4108113996,
Roy.V,2022.03.28 11:14:34 EDT,19158,1,4201540980,
Olivia.I,2022.03.28 11:41:28 EDT,18801,1,2301486813,
Keith.E,2022.03.28 12:18:23 EDT,6327,1,248853564,
Nancy.E,2022.03.28 12:46:47 EDT,21013,1,4685247597,
Vincent.W,2022.03.28 13:15:08 EDT,,0,,LDAP invalid credentials on ldap://10.128.30.20: LDAPInvalidCredentialsResult - 49 - invalidCredentials - None - None - bindResponse - None (facility='initialize [10.128.30.20]'
Emma.I,2022.03.28 13:25:09 EDT,3385,1,490740375,
Russell.I,2022.03.28 13:43:16 EDT,4970,1,1304098180,
Charles.O,2022.03.28 13:57:54 EDT,19518,1,1118635134,
Diane.M,2022.03.28 14:23:08 EDT,6234,1,1421570190,
Michelle.T,2022.03.28 14:42:57 EDT,13324,1,2815587708,
Walter.M,2022.03.28 15:06:03 EDT,12193,1,755917228,
Dennis.X,2022.03.28 15:36:48 EDT,12487,1,2032471529,
Emma.I,2022.03.28 16:16:04 EDT,1614,1,422901894,
Raymond.A,2022.03.28 16:30:44 EDT,,0,,user not found
Roy.V,2022.03.28 16:43:12 EDT,5701,1,712995565,
Christopher.B,2022.03.28 17:06:01 EDT,4300,1,858486400,
Olivia.I,2022.03.28 17:39:23 EDT,1026,1,7028100,
Cheryl.B,2022.03.28 18:11:43 EDT,,0,,user not found
Jeffrey.U,2022.03.28 18:35:27 EDT,1358,1,89758368,
Noah.A,2022.03.28 18:54:57 EDT,5753,1,1205880577,
Diane.M,2022.03.29 07:08:28 EDT,13354,1,1703222576,
Russell.I,2022.03.29 07:44:32 EDT,11427,1,1928477655,
Emma.I,2022.03.29 08:08:56 EDT,32848,1,5498492416,
Keith.E,2022.03.29 08:44:28 EDT,11258,1,283881728,
